Test,TestId,Type,Item,Message,Data,Path
JSONTAGS,111,"Info","","Particle file","/resource_packs/shiroha7_dogeui/particles/fireworks_pop.json","/resource_packs/shiroha7_dogeui/particles/fireworks_pop.json",particleEmitterComponents minecraftEmitterRateInstant,1,particleEmitterComponents minecraftEmitterLifetimeOnce,1,particleEmitterComponents minecraftEmitterShapeSphere,1,particleComponents minecraftParticleInitialSpeed,1,particleComponents minecraftParticleInitialSpin,1,particleComponents minecraftParticleLifetimeExpression,1,particleComponents minecraftParticleLifetimeEvents,1,particleComponents minecraftParticleMotionDynamic,1,particleComponents minecraftParticleAppearanceBillboard,1,particleComponents minecraftParticleAppearanceTinting,1,
JSONTAGS,111,"Info","","Particle file","/resource_packs/shiroha7_dogeui/particles/smoke_puff.json","/resource_packs/shiroha7_dogeui/particles/smoke_puff.json",particleEmitterComponents minecraftEmitterRateInstant,1,particleEmitterComponents minecraftEmitterLifetimeOnce,1,particleEmitterComponents minecraftEmitterShapeSphere,1,particleComponents minecraftParticleInitialSpeed,1,particleComponents minecraftParticleInitialSpin,1,particleComponents minecraftParticleLifetimeExpression,1,particleComponents minecraftParticleMotionDynamic,1,particleComponents minecraftParticleAppearanceBillboard,1,particleComponents minecraftParticleAppearanceTinting,1,particleComponents minecraftParticleAppearanceLighting,1,
LINESIZE,1,"Test success","","File Line/Size Information completed successfully",,"",
MCFUNCTION,2,"Unknown","","No applicable items found for test MC Function Validation (MCFUNCTION)",,"",
MINENGINEVER,1,"Test success","","Min Engine Version completed successfully",,"",
MINENGINEVER,605,"Info","","Behavior pack manifest min_engine_version",1,26,30,"/behavior_packs/shiroha7_dogeui/manifest.json",
MINENGINEVER,614,"Info","","Resource pack manifest format_version",1,26,30,"/resource_packs/shiroha7_dogeui/manifest.json",
NOBOM,1,"Test success","","No Byte Order Mark allowed in json file. completed successfully",,"",
PACK,1,"Test success","","General info completed successfully",,"",
PACK,104,"Info","","Behavior Pack Name","Sample Add-on Pack","/behavior_packs/shiroha7_dogeui/manifest.json",
PACK,105,"Info","","Behavior Pack Description","Sample Add-on Behavior Pack","/behavior_packs/shiroha7_dogeui/manifest.json",
PACK,106,"Info","","Behavior Pack Id","d97948e5-2b3a-4873-9ede-bfae85393b4d|1.0.0","/behavior_packs/shiroha7_dogeui/manifest.json",
PACK,107,"Info","","Behavior Pack Min Engine Version",2,"/behavior_packs/shiroha7_dogeui/manifest.json",
PACK,107,"Info","","Behavior Pack Min Engine Version",1,26,30,"/behavior_packs/shiroha7_dogeui/manifest.json",
PACK,108,"Info","","Behavior Pack Uuid","d97948e5-2b3a-4873-9ede-bfae85393b4d","/behavior_packs/shiroha7_dogeui/manifest.json",
PACK,109,"Info","","Behavior Pack Manifest",,"/behavior_packs/shiroha7_dogeui/manifest.json",
PACK,111,"Info","","Resource Pack Min Engine Version",1,26,30,"/resource_packs/shiroha7_dogeui/manifest.json",
PACK,112,"Info","","Resource Pack Uuid","9a611d80-d5c5-4cb3-82bd-b6a533c0f281","/resource_packs/shiroha7_dogeui/manifest.json",
PACK,113,"Info","","Resource Pack Manifest",,"/resource_packs/shiroha7_dogeui/manifest.json",
PACK,114,"Info","","Resource Pack Name","Sample Add-on Pack","/resource_packs/shiroha7_dogeui/manifest.json",
PACK,115,"Info","","Resource Pack Description","Sample Add-on Resource Pack","/resource_packs/shiroha7_dogeui/manifest.json",
PACK,116,"Info","","Resource Pack Id","9a611d80-d5c5-4cb3-82bd-b6a533c0f281|1.0.0","/resource_packs/shiroha7_dogeui/manifest.json",
PACK,117,"Info","","Resource Pack Format Version",2,"/resource_packs/shiroha7_dogeui/manifest.json",
PACKMETADATA,1,"Test success","","General info completed successfully",,"",
PACKSIZE,1,"Test success","","Pack Size Information completed successfully",,"",
PATHLENGTH,1,"Test success","","Path Length completed successfully",,"",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","Utilities.ts","",
PRJINT,1,"Test success","","Project Integrity completed successfully",,"",
RESOURCEANIMATION,1,"Test success","","Resource Animation completed successfully",,"",
RPDEPENDS,1,"Test success","","Resource Pack Dependencies completed successfully",,"",
SCRIPT,1,"Test success","","Script completed successfully",,"",
SCRIPTMODULE,1,"Test success","","Script Modules completed successfully",,"",
SCRIPTMODULE,100,"Info","","Behavior pack dependency on 2.1.0 at @minecraft/server-ui","2.1.0","/behavior_packs/shiroha7_dogeui/manifest.json",
SCRIPTMODULE,100,"Info","","Behavior pack dependency on 2.8.0 at @minecraft/server","2.8.0","/behavior_packs/shiroha7_dogeui/manifest.json",
SCRIPTMODULE,101,"Info","","Package.json registers usage of @minecraft/math at 2.2.7","2.2.7","/package.json",
SCRIPTMODULE,101,"Info","","Package.json registers usage of @minecraft/server at 2.0.0","2.0.0","/package.json",
SCRIPTMODULE,101,"Info","","Package.json registers usage of @minecraft/server-ui at 2.0.0","2.0.0","/package.json",
SCRIPTMODULE,101,"Info","","Package.json registers usage of @minecraft/vanilla-data at 1.21.90","1.21.90","/package.json",
SCRIPTMODULE,102,"Info","","Package.json registers developer usage of @minecraft/core-build-tasks at 5.5.0","5.5.0","/package.json",
SNDSDEF,2,"Unknown","","No applicable items found for test Sound Definitions (SNDSDEF)",,"",
STRICT,1,"Test success","","Strict Platform completed successfully",,"",
STRICT,101,"Warning","","Uses a runtime_identifier override","minecraft:llama","/behavior_packs/shiroha7_dogeui/entities/frost_moose.behavior.json",
SUMMARY,1,"Test success","","Summary Information completed successfully",,"",
TEXTURE,1,"Test success","","Texture Validation completed successfully",,"",
TEXTUREIMAGE,1,"Test success","","Texture Image Validation completed successfully",,"",
TEXTUREREF,1,"Test success","","Texture References completed successfully",,"",
TYPES,1,"Test success","","Types Info Aggregation completed successfully",,"",
UNKFILE,1,"Test success","","Unknown files completed successfully",,"",
UNKJSON,1,"Test success","","Unknown JSON completed successfully",,"",
UNLINK,1,"Test success","","Unlinked Items completed successfully",,"",
UNLINK,205,"Recommendation","","Link to vanilla item type item; avoid if possible","minecraft:melon","/behavior_packs/shiroha7_dogeui/loot_tables/entities/sheepomelon.json",
UNLINK,205,"Recommendation","","Link to vanilla item type item; avoid if possible","minecraft:muttonRaw","/behavior_packs/shiroha7_dogeui/loot_tables/entities/sheepomelon.json",
UNLINK,205,"Recommendation","","Link to vanilla item type item; avoid if possible","minecraft:melon","/behavior_packs/shiroha7_dogeui/loot_tables/entities/sheepomelon_shear.json",
UNLINK,205,"Recommendation","","Link to vanilla texture item; avoid if possible","textures/entity/llama/decor/trader_llama_decor","/resource_packs/shiroha7_dogeui/entity/frost_moose.entity.json",
UNLINK,205,"Recommendation","","Link to vanilla model item; avoid if possible","geometry.sheep.sheared.v1.8","/resource_packs/shiroha7_dogeui/entity/sheepomelon.entity.json",
UNLINK,205,"Recommendation","","Link to vanilla texture item; avoid if possible","textures/particle/particles","/resource_packs/shiroha7_dogeui/particles/fireworks_pop.json",
UNLINK,205,"Recommendation","","Link to vanilla texture item; avoid if possible","textures/particle/particles","/resource_packs/shiroha7_dogeui/particles/smoke_puff.json",
UNLINK,205,"Recommendation","","Link to vanilla sound catalog item; avoid if possible","mob.dolphin.attack","/resource_packs/shiroha7_dogeui/sounds.json",
UNLINK,205,"Recommendation","","Link to vanilla sound catalog item; avoid if possible","mob.dolphin.blowhole","/resource_packs/shiroha7_dogeui/sounds.json",
UNLINK,205,"Recommendation","","Link to vanilla sound catalog item; avoid if possible","mob.dolphin.death","/resource_packs/shiroha7_dogeui/sounds.json",
UNLINK,205,"Recommendation","","Link to vanilla sound catalog item; avoid if possible","mob.dolphin.eat","/resource_packs/shiroha7_dogeui/sounds.json",
UNLINK,205,"Recommendation","","Link to vanilla sound catalog item; avoid if possible","mob.dolphin.hurt","/resource_packs/shiroha7_dogeui/sounds.json",
UNLINK,205,"Recommendation","","Link to vanilla sound catalog item; avoid if possible","mob.dolphin.idle","/resource_packs/shiroha7_dogeui/sounds.json",
UNLINK,205,"Recommendation","","Link to vanilla sound catalog item; avoid if possible","mob.dolphin.idle_water","/resource_packs/shiroha7_dogeui/sounds.json",
UNLINK,205,"Recommendation","","Link to vanilla sound catalog item; avoid if possible","mob.dolphin.jump","/resource_packs/shiroha7_dogeui/sounds.json",
UNLINK,205,"Recommendation","","Link to vanilla sound catalog item; avoid if possible","mob.dolphin.splash","/resource_packs/shiroha7_dogeui/sounds.json",
UNLINK,205,"Recommendation","","Link to vanilla sound catalog item; avoid if possible","mob.dolphin.swim","/resource_packs/shiroha7_dogeui/sounds.json",
UNLINK,205,"Recommendation","","Link to vanilla sound catalog item; avoid if possible","mob.horse.armor","/resource_packs/shiroha7_dogeui/sounds.json",
UNLINK,205,"Recommendation","","Link to vanilla sound catalog item; avoid if possible","mob.llama.angry","/resource_packs/shiroha7_dogeui/sounds.json",
UNLINK,205,"Recommendation","","Link to vanilla sound catalog item; avoid if possible","mob.llama.death","/resource_packs/shiroha7_dogeui/sounds.json",
UNLINK,205,"Recommendation","","Link to vanilla sound catalog item; avoid if possible","mob.llama.eat","/resource_packs/shiroha7_dogeui/sounds.json",
UNLINK,205,"Recommendation","","Link to vanilla sound catalog item; avoid if possible","mob.llama.hurt","/resource_packs/shiroha7_dogeui/sounds.json",
UNLINK,205,"Recommendation","","Link to vanilla sound catalog item; avoid if possible","mob.llama.idle","/resource_packs/shiroha7_dogeui/sounds.json",
UNLINK,205,"Recommendation","","Link to vanilla sound catalog item; avoid if possible","mob.llama.step","/resource_packs/shiroha7_dogeui/sounds.json",
UNLINK,205,"Recommendation","","Link to vanilla sound catalog item; avoid if possible","mob.llama.swag","/resource_packs/shiroha7_dogeui/sounds.json",
